workbook_file,sheet_name,header_row,headers_json,notes
各ブランドサイト管理＿メイン.xlsx,jukureiwa.com,1,"[""URL"", ""分類"", ""タイトル"", ""メタ"", ""更新日(lastmod)"", ""CLI_1M"", ""3M_CLI"", ""LY1_CLI"", ""LY3_CLI"", ""Δ1M_CLI"", ""Δ3M_CLI"", ""IMP_1M"", ""3M_IMP"", ""LY1_IMP"", ""LY3_IMP"", ""Δ1M_IMP"", ""Δ3M_IMP"", ""CTR_1M"", ""3M_CTR"", ""LY1_CTR"", ""LY3_CTR"", ""1M差分_CTR"", ""3M差分_CTR"", ""POS_1M"", ""3M_POS"", ""LY1_POS"", ""LY3_POS"", ""1M差分_POS"", ""3M差分_POS"", ""GCS基準日"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""構造化JSON"", ""タイトルLEN"", ""メタLEN""]",
各ブランドサイト管理＿メイン.xlsx,koten-kakitsubata.jp,1,"[""URL"", ""分類"", ""タイトルLEN"", ""メタLEN"", ""タイトル"", ""メタ"", ""更新日(lastmod)"", ""CLI_1M"", ""3M_CLI"", ""LY1_CLI"", ""LY3_CLI"", ""Δ1M_CLI"", ""Δ3M_CLI"", ""IMP_1M"", ""3M_IMP"", ""LY1_IMP"", ""LY3_IMP"", ""Δ1M_IMP"", ""Δ3M_IMP"", ""CTR_1M"", ""3M_CTR"", ""LY1_CTR"", ""LY3_CTR"", ""1M差分_CTR"", ""3M差分_CTR"", ""POS_1M"", ""3M_POS"", ""LY1_POS"", ""LY3_POS"", ""1M差分_POS"", ""3M差分_POS"", ""GCS基準日"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""構造化JSON""]",
各ブランドサイト管理＿メイン.xlsx,eigo-rewrite.com,1,"[""URL"", ""分類"", ""タイトル"", ""メタ"", ""更新日(lastmod)"", ""CLI_1M"", ""3M_CLI"", ""LY1_CLI"", ""LY3_CLI"", ""Δ1M_CLI"", ""Δ3M_CLI"", ""IMP_1M"", ""3M_IMP"", ""LY1_IMP"", ""LY3_IMP"", ""Δ1M_IMP"", ""Δ3M_IMP"", ""CTR_1M"", ""3M_CTR"", ""LY1_CTR"", ""LY3_CTR"", ""1M差分_CTR"", ""3M差分_CTR"", ""POS_1M"", ""3M_POS"", ""LY1_POS"", ""LY3_POS"", ""1M差分_POS"", ""3M差分_POS"", ""GCS基準日"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""構造化JSON"", ""タイトルLEN"", ""メタLEN""]",
各ブランドサイト管理＿メイン.xlsx,eng-support.com,1,"[""URL"", ""分類"", ""タイトル"", ""メタ"", ""更新日(lastmod)"", ""CLI_1M"", ""3M_CLI"", ""LY1_CLI"", ""LY3_CLI"", ""Δ1M_CLI"", ""Δ3M_CLI"", ""IMP_1M"", ""3M_IMP"", ""LY1_IMP"", ""LY3_IMP"", ""Δ1M_IMP"", ""Δ3M_IMP"", ""CTR_1M"", ""3M_CTR"", ""LY1_CTR"", ""LY3_CTR"", ""1M差分_CTR"", ""3M差分_CTR"", ""POS_1M"", ""3M_POS"", ""LY1_POS"", ""LY3_POS"", ""1M差分_POS"", ""3M差分_POS"", ""GCS基準日"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""構造化JSON"", ""タイトルLEN"", ""メタLEN""]",
各ブランドサイト管理＿メイン.xlsx,rika-quest.com,1,"[""URL"", ""分類"", ""タイトル"", ""メタ"", ""更新日(lastmod)"", ""CLI_1M"", ""3M_CLI"", ""LY1_CLI"", ""LY3_CLI"", ""Δ1M_CLI"", ""Δ3M_CLI"", ""IMP_1M"", ""3M_IMP"", ""LY1_IMP"", ""LY3_IMP"", ""Δ1M_IMP"", ""Δ3M_IMP"", ""CTR_1M"", ""3M_CTR"", ""LY1_CTR"", ""LY3_CTR"", ""1M差分_CTR"", ""3M差分_CTR"", ""POS_1M"", ""3M_POS"", ""LY1_POS"", ""LY3_POS"", ""1M差分_POS"", ""3M差分_POS"", ""GCS基準日"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""構造化JSON"", ""タイトルLEN"", ""メタLEN""]",
各ブランドサイト管理＿メイン.xlsx,kokugo-trigger.com,1,"[""URL"", ""分類"", ""タイトル"", ""メタ"", ""更新日(lastmod)"", ""CLI_1M"", ""3M_CLI"", ""LY1_CLI"", ""LY3_CLI"", ""Δ1M_CLI"", ""Δ3M_CLI"", ""IMP_1M"", ""3M_IMP"", ""LY1_IMP"", ""LY3_IMP"", ""Δ1M_IMP"", ""Δ3M_IMP"", ""CTR_1M"", ""3M_CTR"", ""LY1_CTR"", ""LY3_CTR"", ""1M差分_CTR"", ""3M差分_CTR"", ""POS_1M"", ""3M_POS"", ""LY1_POS"", ""LY3_POS"", ""1M差分_POS"", ""3M差分_POS"", ""GCS基準日"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""構造化JSON"", ""タイトルLEN"", ""メタLEN""]",
各ブランドサイト管理＿メイン (4).xlsx,設定,1,"[""ドメイン名"", ""サイトマップ""]",
各ブランドサイト管理＿メイン (4).xlsx,概観,3,"[""対象"", ""ページ"", ""クリック"", ""表示"", ""CTR"", ""平均順位"", ""Δクリック"", ""Δ表示"", ""0クリック率"", ""低CTR率"", ""持ち直し率"", ""悪化率""]",ダッシュボード形式。3行目を主テーブルの見出しとして採用。
各ブランドサイト管理＿メイン (4).xlsx,概観_履歴,1,"[""日付"", ""粒度"", ""ドメイン"", ""分類"", ""ページ数"", ""クリック(1M)"", ""表示(1M)"", ""CTR"", ""平均順位"", ""Δクリック(1M)"", ""Δ表示(1M)"", ""0クリック率"", ""低CTR率"", ""持ち直し率"", ""悪化率"", ""更新タイムスタンプ""]",
各ブランドサイト管理＿メイン (4).xlsx,概観_未分類,1,"[""ドメイン"", ""URL"", ""分類(元データ)"", ""タイトル"", ""IMP_1M"", ""CLI_1M""]",
