logical_name,preferred_file,all_attached_files
各ブランドサイト管理,各ブランドサイト管理＿メイン (4).xlsx,各ブランドサイト管理＿メイン.xlsx | 各ブランドサイト管理＿メイン (4).xlsx
GSC履歴,GSC履歴 (2).xlsx,GSC履歴 (2).xlsx
SEOプロンプト作成,SEOプロンプト作成.xlsx,SEOプロンプト作成.xlsx
GSCキーワード調査,GSCキーワード調査.xlsx,GSCキーワード調査.xlsx
禁則ワードチェック,禁則ワードチェック.xlsx,禁則ワードチェック.xlsx
内部リンクマスタ,内部リンクマスタ.xlsx,内部リンクマスタ.xlsx
自動プロンプト,自動プロンプト.xlsx,自動プロンプト.xlsx
全ページ変更管理,全ページ変更管理.xlsx,全ページ変更管理.xlsx
